Month/YR Monitored,Date Data Collected,EpicotylLength,OutplantTagID,DeadAliveDying,PlumuleColor,HypocotylLength,TotalLength,Branches,"LeavesMainStem
",LeavesBranches,TotalLeaves,,,PROP ROOTS
11.2023,11/27/2023,,3042,A,G,,46.5,0,4,0,4,NA,,
11.2023,11/27/2023,,3076,A,G,,57.8,2,6,UKN,UKN,NA,,
11.2023,11/27/2023,,3078,A,G,,47.3,2,7,UKN,UKN,NA,,
11.2023,11/27/2023,,3092,A,G,,47.8,0,6,0,6,NA,,
11.2023,11/27/2023,,3012,A,G,,49,2,4,UKN,UKN,NA,,
11.2023,11/27/2023,,3008,A,G,,47.5,2,NA,UKN,UKN,NA,MSS,
11.2023,11/27/2023,,2862,A,G,,38.5,0,10,0,10,NA,,
11.2023,11/27/2023,,3052,A,G,,32,0,2,0,2,NA,,
11.2023,11/27/2023,,3055,A,G,,20.9,0,3,0,3,NA,,
11.2023,11/27/2023,,3063,A,G,,33.3,0,2,0,2,NA,,
11.2023,11/27/2023,,3065,A,G,,42.4,0,6,0,6,NA,,
11.2023,11/27/2023,,2175,A,G,,46.3,0,5,0,5,NA,,
11.2023,11/27/2023,,2172,A,G,,52.5,0,5,0,5,NA,,
11.2023,11/27/2023,,1853,A,G,,44.2,0,9,0,9,NA,,
11.2023,11/27/2023,,2864,A,G,,49,0,8,0,8,NA,,
11.2023,11/27/2023,,3007,A,G,,41.9,0,3,0,3,NA,,
11.2023,11/27/2023,,3009,A,G,,38.6,0,4,0,4,NA,,
11.2023,11/27/2023,,3066,A,G,,37,0,4,0,4,NA,,
11.2023,11/27/2023,,3010,A,G,,35,0,5,0,5,NA,,
11.2023,11/27/2023,,2152,A,G,,49.5,1,6,UKN,UKN,NA,,
11.2023,11/27/2023,,2142,A,G,,45,0,5,0,5,NA,,
11.2023,11/27/2023,,2125,A,G,,48,0,7,0,7,NA,,
11.2023,11/27/2023,,1865,A,G,,48.2,0,4,0,4,NA,,
11.2023,11/27/2023,,3077,A,G,,41,0,5,0,5,NA,,
11.2023,11/27/2023,,3056,A,G,,42.2,0,5,0,5,NA,,
11.2023,11/27/2023,,3011,A,G,,37.5,0,4,0,4,NA,,
11.2023,11/27/2023,,3023,A,G,,43.4,0,2,0,2,NA,,
11.2023,11/27/2023,,1842,A,G,,40.2,0,6,0,6,NA,,
11.2023,11/27/2023,,1881,A,G,,43,0,6,0,6,NA,,
11.2023,11/27/2023,,3088,A,G,,35,0,6,0,6,NA,,
11.2023,11/27/2023,,1878,A,G,,55,1,5,UKN,UKN,NA,,
11.2023,11/27/2023,,3019,A,G,,47.5,0,5,NA,5,NA,,
11.2023,11/27/2023,,2158,A,G,,40.5,0,2,0,2,NA,,
11.2023,11/27/2023,,2130,A,G,,35.5,0,4,0,4,NA,,
11.2023,11/27/2023,,1824,A,G,,41,0,8,0,8,H,,
11.2023,11/27/2023,,1869,A,G,,34.2,2,0,0,0,H,MSD,
11.2023,11/27/2023,,3045,A,G,,35.9,0,4,0,4,H,,
11.2023,11/27/2023,,1850,A,G,,51.2,0,7,0,7,H,,
11.2023,11/27/2023,,3013,A,G,,35.5,0,5,0,5,H,,
11.2023,11/27/2023,,3073,A,G,,46.1,0,4,0,4,H,,
11.2023,11/27/2023,,2184,A,G,,24.6,0,2,0,2,NA,LEAF DYING,
11.2023,11/27/2023,,3069,A,G,,50.9,2,4,UKN,UKN,H,,
11.2023,11/27/2023,,2160,A,G,,40.5,0,2,0,2,H,,
11.2023,11/27/2023,,3072,A,G,,45,0,4,0,4,H,,
11.2023,11/27/2023,,2195,A,G,,33.9,0,4,0,4,H,,
11.2023,11/27/2023,,1887,A,G,,51.3,0,4,0,4,H,,
11.2023,11/27/2023,,1891,A,G,,43.4,0,5,0,5,H,,
11.2023,11/27/2023,,2850,A,G,,37.4,0,6,0,6,H,,
11.2023,11/27/2023,,1890,A,G,,56,0,6,0,6,H,,
11.2023,11/27/2023,,1883,A,G,,45.4,0,2,0,2,H,,
11.2023,11/27/2023,,1876,A,G,,40.7,0,2,0,2,H,,
11.2023,11/27/2023,,2143,A,G,,29.2,0,2,0,2,H,,
11.2023,11/27/2023,,2105,A,G,,29.1,0,2,0,2,H,,
11.2023,11/27/2023,,2127,A,G,,45,2,4,UKN,UKN,H,,
11.2023,11/27/2023,,2133,A,G,,48.3,2,2,UKN,UKN,H,,
11.2023,11/27/2023,,2860,A,G,,41.1,0,8,0,8,H,,
11.2023,11/27/2023,,1834,A,G,,44,0,6,0,6,H,,
11.2023,11/27/2023,,1811,A,G,,53.7,0,4,0,4,H,,
11.2023,11/27/2023,,1875,A,G,,51.4,3,4,UKN,UKN,H,,
11.2023,11/27/2023,,2857,A,G,,45.1,0,6,0,6,H,,
11.2023,11/27/2023,,3075,A,G,,43.5,2,10,UKN,UKN,H,,
11.2023,11/27/2023,,2176,D,G,,NA,NA,NA,NA,NA,DEAD,,
11.2023,11/27/2023,,2191,DY,G,,34,0,2,0,2,W,Pulled Tag,
11.2023,11/27/2023,,2190,A,G,,35.8,0,4,0,4,H,,
11.2023,11/27/2023,,2171,A,G,,50.4,0,4,0,4,H,,
11.2023,11/27/2023,,2198,A,G,,25.4,0,6,0,6,H,,
11.2023,11/27/2023,,2197,A,G,,33.6,0,3,0,3,H,,
11.2023,11/27/2023,,2155,A,G,,50.2,0,8,0,8,H,,
11.2023,11/27/2023,,3021,A,G,,33.2,1,0,0,0,H,"MSS, 3 LEAVES ON BRANCH",
11.2023,11/27/2023,,2896,D,G,,NA,NA,NA,NA,NA,DEAD,,
11.2023,11/27/2023,,1896,A,G,,42.9,0,4,0,4,H,,
11.2023,11/27/2023,,1870,A,G,,35.3,0,5,0,5,NA,WILTING LEAF,
11.2023,11/27/2023,,2849,A,G,,55.6,3,6,UKN,UKN,H,,
11.2023,11/27/2023,,1884,A,G,,58.4,0,8,0,8,H,,
11.2023,11/27/2023,,1879,A,G,,54.1,0,8,0,8,H,,
11.2023,11/27/2023,,3029,A,G,,42.3,0,6,0,6,H,,
11.2023,11/27/2023,,3097,A,G,,51.6,1,0,0,0,H,MSS/MSD 6 LEAVE ON BRANCH,
11.2023,11/27/2023,,2110,A,G,,40,0,5,0,5,NA,,
11.2023,11/27/2023,,2196,A,G,,45,0,6,0,6,NA,,
11.2023,11/27/2023,,2122,A,G,,34.5,0,4,0,4,NA,,
11.2023,11/27/2023,,3014,A,G,,42.9,0,5,0,5,NA,,
11.2023,11/27/2023,,1888,A,G,,55.2,0,6,0,6,NA,,
11.2023,11/27/2023,,1839,A,G,,44,0,5,0,5,NA,,
11.2023,11/27/2023,,2138,A,G,,42,0,6,0,6,NA,,
11.2023,11/27/2023,,1897,A,G,,52.5,2,8,UKN,UKN,NA,,
11.2023,11/27/2023,,1857,A,G,,48,0,4,0,4,NA,,
11.2023,11/27/2023,,1846,A,G,,33.5,2,NA,NA,NA,NA,MSS,
11.2023,11/27/2023,,2112,A,G,,40,0,4,0,4,NA,,
11.2023,11/27/2023,,3098,A,G,,48,2,7,UKN,UKN,NA,,
11.2023,11/27/2023,,3033,A,G,,45,0,6,0,6,NA,,
11.2023,11/27/2023,,2805,A,G,,49,0,6,0,6,NA,,
11.2023,11/27/2023,,3026,A,G,,28.5,0,6,0,6,NA,,
11.2023,11/27/2023,,3099,A,G,,39,0,6,0,6,NA,,
11.2023,11/27/2023,,3085,A,G,,36.8,0,4,0,4,NA,,
11.2023,11/27/2023,,3032,A,G,,48,4,4,UKN,UKN,NA,,
11.2023,11/27/2023,,3087,A,G,,45,3,5,UKN,UKN,NA,,
11.2023,11/27/2023,,2102,A,G,,30.5,0,2,0,2,NA,,
11.2023,11/27/2023,,2106,A,G,,26.5,0,4,0,4,NA,,
11.2023,11/27/2023,,3020,A,G,,38,0,2,0,2,NA,,
11.2023,11/27/2023,,3003,A,G,,21.5,0,2,0,2,NA,,
11.2023,11/27/2023,,3079,A,G,,31,0,3,0,3,NA,,
11.2023,11/27/2023,,3074,A,G,,35.5,0,3,0,3,NA,,
11.2023,11/27/2023,,2124,A,G,,32,0,2,0,2,NA,,
11.2023,11/27/2023,,2103,A,G,,32.5,0,6,0,6,NA,,
11.2023,11/27/2023,,3027,A,G,,50.1,0,2,0,2,NA,,
11.2023,11/27/2023,,3018,A,G,,48,0,2,0,2,NA,,
11.2023,11/27/2023,,1830,A,G,,36.5,0,4,0,4,NA,,
11.2023,11/27/2023,,3017,A,G,,41,0,4,0,4,NA,,
11.2023,11/27/2023,,1877,A,G,,39,0,6,0,6,NA,,
11.2023,11/27/2023,,1874,A,G,,34.6,0,6,0,6,NA,,
11.2023,11/27/2023,,1804,A,G,,35.2,0,4,0,4,NA,,
11.2023,11/27/2023,,3071,A,G,,36.5,1,6,UKN,UKN,NA,,
11.2023,11/27/2023,,1835,A,G,,43.6,0,5,0,5,NA,,
11.2023,11/27/2023,,1885,A,G,,26.2,2,UKN,UKN,UKN,NA,MSS,
11.2023,11/27/2023,,1823,A,G,,43.9,4,4,UKN,UKN,NA,,
11.2023,11/27/2023,,1825,A,G,,50,0,6,0,6,NA,,
11.2023,11/27/2023,,3036,A,G,,36.2,0,6,0,6,NA,,
11.2023,11/27/2023,,3037,A,G,,29.1,0,8,0,8,NA,,
11.2023,11/27/2023,,3024,A,G,,51.3,0,10,0,10,NA,,
11.2023,11/27/2023,,3093,A,G,,48.7,4,6,UKN,UKN,NA,,
11.2023,11/27/2023,,3070,A,G,,38.3,0,2,0,2,H,,
11.2023,11/27/2023,,3081,A,G,,41,0,4,0,4,H,,
11.2023,11/27/2023,,2116,A,G,,47.2,0,6,0,6,H,,
11.2023,11/27/2023,,2199,A,G,,38.4,0,5,0,5,H,,
11.2023,11/27/2023,,3094,A,G,,54.5,2,6,UKN,UKN,H,,
11.2023,11/27/2023,,3040,A,G,,45.1,0,6,0,6,H,,
11.2023,11/27/2023,,3091,A,G,,53.6,0,7,0,7,H,,
11.2023,11/27/2023,,1892,A,G,,57,0,7,0,7,H,,
11.2023,11/27/2023,,2129,A,G,,35.6,0,2,0,2,H,,
11.2023,11/27/2023,,2162,A,G,,36.6,0,3,0,3,H,,
11.2023,11/27/2023,,2108,A,G,,27.6,0,4,0,4,H,,
11.2023,11/27/2023,,2153,A,G,,39.3,0,2,0,2,H,,
11.2023,11/27/2023,,2164,A,G,,42.6,0,5,0,5,H,,
11.2023,11/27/2023,,2177,A,G,,33.1,0,4,0,4,H,,
11.2023,11/27/2023,,2188,A,G,,45,0,4,0,4,H,,
11.2023,11/27/2023,,2167,A,G,,51,0,6,0,6,H,,
11.2023,11/27/2023,,1838,A,G,,43,0,3,0,3,H,,
11.2023,11/27/2023,,1816,A,G,,87.4,0,2,0,2,H,,
11.2023,11/27/2023,,1817,A,G,,48.8,0,8,0,8,H,,
11.2023,11/27/2023,,1895,A,G,,55.3,2,5,UKN,UKN,H,,
11.2023,11/27/2023,,2119,A,G,,49.4,0,3,0,3,H,,
11.2023,11/27/2023,,2101,A,G,,47.4,0,4,0,4,H,,
11.2023,11/27/2023,,3034,A,G,,33.9,0,3,0,3,H,,
11.2023,11/27/2023,,2140,A,G,,35.2,0,5,0,5,H,,
11.2023,11/27/2023,,3031,A,G,,45.9,2,0,0,0,H,MSS,
11.2023,11/27/2023,,2135,A,G,,37.8,0,2,0,2,H,,
11.2023,11/27/2023,,2174,A,G,,25.7,0,3,0,3,W,,
11.2023,11/27/2023,,2187,DY,G,,18.8,0,0,0,0,DY,,
11.2023,11/27/2023,,2123,A,G,,60,0,4,0,4,H,,
11.2023,11/27/2023,,2165,A,G,,48,0,4,0,4,H,,
11.2023,11/27/2023,,2149,A,G,,46,0,6,0,6,H,,
11.2023,11/27/2023,,2163,A,G,,39,0,6,0,6,H,,
11.2023,11/27/2023,,1854,A,G,,39.5,0,4,0,4,H,,
11.2023,11/27/2023,,1861,A,G,,34.3,0,4,0,4,H,,
11.2023,11/27/2023,,3049,A,G,,40,0,5,0,5,H,,
11.2023,11/27/2023,,3051,A,G,,41,0,6,0,6,H,,
11.2023,11/27/2023,,1837,A,G,,49,0,6,0,6,H,,
11.2023,11/27/2023,,1866,A,G,,51,1,5,UKN,UKN,H,,
11.2023,11/27/2023,,3041,A,G,,41.5,0,4,0,4,H,,
11.2023,11/27/2023,,1848,A,G,,56,0,6,0,6,H,,
11.2023,11/27/2023,,1841,A,G,,42,0,5,0,5,H,,
11.2023,11/27/2023,,1880,A,G,,41.1,0,6,0,6,H,,
11.2023,11/27/2023,,1818,A,G,,46,0,6,0,6,H,,
11.2023,11/27/2023,,3015,A,G,,30.7,0,4,0,4,H,,
11.2023,11/27/2023,,1859,A,G,,51,0,6,0,6,H,,
11.2023,11/27/2023,,1893,A,G,,55,1,6,UKN,UKN,H,,
11.2023,11/27/2023,,3022,A,G,,54.2,1,4,UKN,UKN,H,,
11.2023,11/27/2023,,1845,A,G,,47.6,0,4,NA,4,H,,
11.2023,11/27/2023,,1840,DY,G,,28.5,0,0,NA,0,W,,
11.2023,11/27/2023,,1858,A,G,,29.6,0,3,NA,3,H,,
11.2023,11/27/2023,,3083,A,G,,43.4,0,4,NA,4,H,,
11.2023,11/27/2023,,1814,A,G,,38.7,0,4,NA,4,H,,
11.2023,11/27/2023,,1894,A,G,,42,0,5,NA,5,H,,
11.2023,11/27/2023,,1851,A,G,,50,4,6,UKN,UKN,H,,
11.2023,11/27/2023,,3043,A,G,,48,0,6,0,6,H,,
11.2023,11/27/2023,,1860,D,G,,NA,NA,NA,NA,NA,DEAD,,
11.2023,11/27/2023,,1864,A,G,,48,0,5,0,5,H,,
11.2023,11/27/2023,,3048,A,G,,56,0,7,0,7,H,,
11.2023,11/27/2023,,3039,A,G,,50.5,2,5,UKN,UKN,H,,
11.2023,11/27/2023,,2853,A,G,,35.8,0,4,0,4,H,,
11.2023,11/27/2023,,1827,A,G,,32.7,0,4,0,4,H,,
11.2023,11/27/2023,,1836,A,G,,35.6,2,0,0,0,H,MSS,
11.2023,11/27/2023,,1886,A,G,,35.6,0,4,0,4,H,,
11.2023,11/27/2023,,2121,A,G,,30.5,0,0,0,0,W,,
11.2023,11/27/2023,,2115,A,G,,38.6,0,2,0,2,H,,
11.2023,11/27/2023,,3067,A,G,,33.4,0,4,0,4,H,,
11.2023,11/27/2023,,2179,A,G,,34,0,4,0,4,H,,
11.2023,11/27/2023,,2159,A,G,,33.4,0,2,0,2,H,,
11.2023,11/27/2023,,2104,A,G,,38.5,2,0,0,0,W,MSS,
11.2023,11/27/2023,,2109,A,G,,46.3,0,4,0,4,H,,
11.2023,11/27/2023,,2192,A,G,,34.6,0,4,0,4,H,,
11.2023,11/27/2023,,1833,A,G,,43.4,0,5,0,5,H,,
11.2023,11/27/2023,,1882,A,G,,43,0,5,0,5,H,,
11.2023,11/27/2023,,2881,A,G,,54.5,2,6,UKN,UKN,H,,
11.2023,11/27/2023,,2893,A,G,,39.3,1,6,UKN,UKN,H,,
11.2023,11/27/2023,,2134,A,G,,48.4,0,6,0,6,H,,
11.2023,11/27/2023,,2136,A,G,,46.5,0,2,0,2,H,,
11.2023,11/27/2023,,1810,A,G,,46.3,0,5,0,5,H,,
11.2023,11/27/2023,,2137,A,G,,60.4,1,4,UKN,UKN,H,,
11.2023,11/27/2023,,1806,A,G,,31.9,0,4,0,4,H,,
11.2023,11/27/2023,,1813,A,G,,42.1,0,6,0,6,H,,
11.2023,11/27/2023,,3016,A,G,,39.6,0,4,0,4,H,,
11.2023,11/27/2023,,1862,A,G,,38.5,0,6,0,6,H,,
11.2023,11/27/2023,,3082,A,G,,29.9,2,5,UKN,UKN,H,MSS,
11.2023,11/27/2023,,2126,A,G,,44.4,0,4,0,4,H,,
11.2023,11/27/2023,,1898,A,G,,57,3,6,UKN,UKN,H,,
11.2023,11/27/2023,,3090,A,G,,39,0,5,0,5,H,,
11.2023,11/27/2023,,1828,A,G,,42.6,0,6,0,6,NA,,
11.2023,11/27/2023,,1889,A,G,,41.5,0,6,0,6,NA,,
11.2023,11/27/2023,,1807,A,G,,49.4,0,5,0,5,NA,,
11.2023,11/27/2023,,3084,A,G,,47.6,0,6,0,6,NA,,
11.2023,11/27/2023,,1801,A,G,,35.5,0,4,0,4,NA,,
11.2023,11/27/2023,,1803,A,G,,31,0,4,0,4,NA,,
11.2023,11/27/2023,,2181,A,G,,36,0,2,0,2,NA,,
11.2023,11/27/2023,,3058,A,G,,47.9,0,4,0,4,NA,,
11.2023,11/27/2023,,1805,A,G,,41.5,0,3,0,3,NA,,
11.2023,11/27/2023,,1843,A,G,,53.3,2,4,UKN,UKN,NA,,
11.2023,11/27/2023,,3002,A,G,,50.8,2,4,UKN,UKN,NA,,
11.2023,11/27/2023,,3028,A,G,,47.7,0,4,0,4,NA,,
11.2023,11/27/2023,,3006,A,G,,41.5,0,4,0,4,NA,,
11.2023,11/27/2023,,3060,A,G,,49.2,1,6,UKN,UKN,NA,,
11.2023,11/27/2023,,3100,A,G,,44.4,0,8,0,8,NA,,
11.2023,11/27/2023,,3005,A,G,,61.2,0,8,0,8,NA,,
11.2023,11/27/2023,,2114,A,G,,54.7,0,2,0,2,NA,,
11.2023,11/27/2023,,2194,A,G,,49.5,0,2,0,2,NA,,
11.2023,11/27/2023,,1831,A,G,,40.5,0,4,0,4,NA,,
11.2023,11/27/2023,,2183,A,G,,31.3,0,2,0,2,NA,,
11.2023,11/27/2023,,2150,A,G,,48,0,4,0,4,NA,,
11.2023,11/27/2023,,2111,A,G,,39.5,0,3,0,3,NA,,
11.2023,11/27/2023,,2182,A,G,,15,0,2,0,2,NA,PLANT UNDERWATER,
11.2023,11/27/2023,,2161,A,G,,17.1,0,0,0,0,NA,PLANT UNDERWATER,
11.2023,11/27/2023,,3035,A,G,,50.9,0,5,0,5,NA,,
11.2023,11/27/2023,,3004,A,G,,51.9,0,7,0,7,NA,,
11.2023,11/27/2023,,3046,A,G,,45.5,0,7,0,7,NA,,
11.2023,11/27/2023,,3080,A,G,,52.4,0,9,0,9,NA,,
11.2023,11/27/2023,,2113,D,G,,NA,NA,NA,NA,NA,DEAD,,
11.2023,11/27/2023,,1809,D,G,,NA,NA,NA,NA,NA,DEAD,,
11.2023,11/27/2023,,1844,D,G,,NA,NA,NA,NA,NA,DEAD,Pulled Tag,
11.2023,11/27/2023,,2891,D,G,,NA,NA,NA,NA,NA,DEAD,Pulled Tag,
11.2023,11/27/2023,,1849,D,G,,NA,NA,NA,NA,NA,DEAD,,
11.2023,11/27/2023,,1867,D,G,,NA,NA,NA,NA,NA,DEAD,,
11.2023,11/27/2023,,1863,DY,G,,31.2,0,0,0,0,NA,,
11.2023,11/27/2023,,2148,A,G,,37.9,0,3,0,3,NA,,
12.2023,12/27/2023,14.5,2186,A,G,,37.1,0,6,0,6,H,,
12.2023,12/27/2023,15,2189,A,G,,38.7,0,5,0,5,H,,
12.2023,12/27/2023,14.3,3095,A,G,,48.2,0,3,0,3,H,,
12.2023,12/27/2023,22.3,3059,A,G,,31,0,9,0,9,H,,
12.2023,12/27/2023,22.2,2178,A,G,,45.5,2,9,10,19,H,,
12.2023,12/27/2023,22.6,2146,A,G,,42.3,0,9,0,9,H,,
12.2023,12/27/2023,,2170,D,G,,,,,,,,MISSING,
12.2023,12/27/2023,26.7,2145,A,G,,46.5,3,10,12,22,H,,
12.2023,12/27/2023,16.1,1899,A,G,,45,0,8,0,8,H,,
12.2023,12/27/2023,13,2117,A,G,,36.2,0,4,0,4,H,LCP,
12.2023,12/27/2023,21.7,2154,A,G,,55.3,0,6,0,6,H,,
12.2023,12/27/2023,12.3,2118,A,G,,37.6,0,4,0,4,H,,
12.2023,12/27/2023,24.9,2169,A,G,,49,0,4,0,4,H,,
12.2023,12/27/2023,26.6,2156,A,G,,46.9,0,4,0,4,H,,
12.2023,12/27/2023,17.7,2132,A,G,,38.7,0,2,0,2,H,,
12.2023,12/27/2023,15.5,2128,A,G,,45.1,0,2,0,2,H,,
12.2023,12/27/2023,13,2120,A,G,,44.5,0,4,0,4,H,,
12.2023,12/27/2023,16,1826,A,G,,32.5,0,4,0,4,H,,
12.2023,12/27/2023,15.1,2157,A,G,,37.8,0,4,0,4,H,,
12.2023,12/27/2023,20.7,2144,A,G,,45.5,0,8,0,8,H,,
12.2023,12/27/2023,14.4,2107,A,G,,41.4,0,6,0,6,H,,
12.2023,12/27/2023,15.5,2131,A,G,,34.3,0,8,0,8,H,,
12.2023,12/27/2023,16.5,3068,A,G,,33.1,0,5,0,5,H,,
12.2023,12/27/2023,15,2168,A,G,,37.7,0,2,0,2,D,SUN SPOT/YELLOW LEAF,
12.2023,12/27/2023,15.5,2141,A,G,,35.7,0,4,0,4,D,,
12.2023,12/27/2023,29.6,2180,A,G,,46.5,0,8,0,8,H,,
12.2023,12/27/2023,18.8,2166,A,G,,37.6,0,6,0,6,H,,
12.2023,12/27/2023,13,3062,A,G,,33.1,0,2,0,2,D,,
12.2023,12/27/2023,10.3,3050,A,G,,32.9,0,4,0,4,D,,
12.2023,12/27/2023,17.7,2835,A,G,,44.4,0,4,0,4,H,,
12.2023,12/27/2023,11.3,2200,A,G,,,0,1,0,1,W,SUBMERGED,
12.2023,12/27/2023,9.3,1900,A,G,,27.6,0,3,0,3,D,,
12.2023,12/27/2023,9,1822,A,G,,26.8,0,0,0,0,W,,
12.2023,12/27/2023,11.3,2147,A,G,,23.6,0,2,0,2,D,,
12.2023,12/27/2023,9.9,1812,A,G,,28.6,0,2,0,2,H,,
12.2023,12/27/2023,22.5,3047,A,G,,43.1,0,9,0,9,H,,
12.2023,12/27/2023,25,3038,A,G,,46.5,0,6,0,6,H,,
12.2023,12/27/2023,24.2,2852,A,G,,43.9,0,7,0,7,H,,
12.2023,12/27/2023,25.1,3044,A,G,,41.2,3,8,9,17,H,,
12.2023,12/27/2023,16.1,3054,A,G,,36.5,0,8,0,8,H,,
12.2023,12/27/2023,14.6,3057,A,G,,36.5,0,4,0,4,H,,
12.2023,12/27/2023,19.2,1832,A,G,,35.2,0,11,0,11,H,,
12.2023,12/27/2023,23,1819,D,G,,41.5,0,7,0,7,H,,
12.2023,12/27/2023,20.6,1847,A,G,,,0,5,0,5,H,,
12.2023,12/27/2023,20.2,1871,A,G,,40.1,0,4,0,4,H,,
12.2023,12/27/2023,,3089,PLANT MISSING,G,,,,,,,,PLANT MISSING,
12.2023,12/27/2023,19.3,3025,A,G,,43.2,0,8,0,8,H,,
12.2023,12/27/2023,15.4,3053,A,G,,40,0,6,0,6,H,,
12.2023,12/27/2023,18.7,3030,A,G,,35.2,0,9,0,9,H,,
12.2023,12/27/2023,24.5,3086,A,G,,44.5,1,9,2,11,H,,
12.2023,12/27/2023,26.2,3001,A,G,,47.5,2,8,14,22,H,,
12.2023,12/27/2023,16.7,3096,A,G,,43.5,0,6,0,6,H,,
12.2023,12/27/2023,20.2,3042,A,G,,44.3,0,6,0,6,H,,
12.2023,12/27/2023,30.7,3076,A,G,,53.4,2,8,10,18,H,,
12.2023,12/27/2023,22.2,3078,A,G,,43.8,2,8,14,22,H,,
